Tag,client_id,msg_size,repetitions,worker_count,Throughput_in_MiB/second,bytes_received,delta_us,lib,protocoll
E,1,65536,8192,zmq-1,376.470,53673165,135965,zmq,tcp
E,1,65536,8192,zmq-1,381.313,53673165,134238,zmq,tcp
G,2,4,8192,zmq-2,0.049,10647,208715,zmq,tcp
G,2,4,8192,zmq-2,0.143,10647,70780,zmq,tcp
G,2,4,8192,zmq-2,0.138,10647,73580,zmq,tcp
G,2,4,8192,zmq-2,0.139,10647,73032,zmq,tcp
G,1,4,8192,zmq-2,0.148,10647,68688,zmq,tcp
G,2,4,8192,zmq-2,0.137,10647,74101,zmq,tcp
G,2,4,8192,zmq-2,0.137,10647,74173,zmq,tcp
G,1,4,8192,zmq-2,0.138,10647,73592,zmq,tcp
G,1,4,8192,zmq-2,0.139,10647,73106,zmq,tcp
G,1,4,8192,zmq-2,0.140,10647,72639,zmq,tcp
G,2,8,8192,zmq-2,0.163,10647,62124,zmq,tcp
G,2,8,8192,zmq-2,0.143,10647,70911,zmq,tcp
G,2,8,8192,zmq-2,0.150,10647,67645,zmq,tcp
G,1,8,8192,zmq-2,0.141,10647,72186,zmq,tcp
G,2,8,8192,zmq-2,0.141,10647,71799,zmq,tcp
G,1,8,8192,zmq-2,0.142,10647,71503,zmq,tcp
G,1,8,8192,zmq-2,0.137,10647,74341,zmq,tcp
G,2,8,8192,zmq-2,0.135,10647,75452,zmq,tcp
G,2,8,8192,zmq-2,0.146,10647,69608,zmq,tcp
G,1,8,8192,zmq-2,0.148,10679,68671,zmq,tcp
G,1,16,8192,zmq-2,0.194,12285,60521,zmq,tcp
G,1,16,8192,zmq-2,0.183,12285,64034,zmq,tcp
G,1,16,8192,zmq-2,0.191,12285,61377,zmq,tcp
G,1,16,8192,zmq-2,0.200,12285,58665,zmq,tcp
G,2,16,8192,zmq-2,0.216,12285,54236,zmq,tcp
G,1,16,8192,zmq-2,0.223,12285,52534,zmq,tcp
G,1,16,8192,zmq-2,0.225,12285,51961,zmq,tcp
G,2,16,8192,zmq-2,0.224,12285,52285,zmq,tcp
G,2,16,8192,zmq-2,0.225,12285,52166,zmq,tcp
G,1,16,8192,zmq-2,0.230,12669,52432,zmq,tcp
G,2,32,8192,zmq-2,0.576,25389,42019,zmq,tcp
G,1,32,8192,zmq-2,0.456,25389,53105,zmq,tcp
G,1,32,8192,zmq-2,0.474,25389,51090,zmq,tcp
G,1,32,8192,zmq-2,0.481,25389,50314,zmq,tcp
G,2,32,8192,zmq-2,0.480,25389,50493,zmq,tcp
G,2,32,8192,zmq-2,0.473,25389,51207,zmq,tcp
G,2,32,8192,zmq-2,0.465,25389,52122,zmq,tcp
G,2,32,8192,zmq-2,0.478,25389,50604,zmq,tcp
G,1,32,8192,zmq-2,0.462,25389,52398,zmq,tcp
G,1,32,8192,zmq-2,0.473,26413,53207,zmq,tcp
G,1,64,8192,zmq-2,1.008,51597,48802,zmq,tcp
G,1,64,8192,zmq-2,0.984,51597,50021,zmq,tcp
G,1,64,8192,zmq-2,0.916,51597,53695,zmq,tcp
G,1,64,8192,zmq-2,0.943,51597,52200,zmq,tcp
G,1,64,8192,zmq-2,0.935,51597,52621,zmq,tcp
G,1,64,8192,zmq-2,0.934,51597,52664,zmq,tcp
G,2,64,8192,zmq-2,0.915,51597,53805,zmq,tcp
G,1,64,8192,zmq-2,0.932,51597,52797,zmq,tcp
G,2,64,8192,zmq-2,0.928,51597,53042,zmq,tcp
G,2,64,8192,zmq-2,1.007,54157,51281,zmq,tcp
G,2,128,8192,zmq-2,2.368,104013,41890,zmq,tcp
G,1,128,8192,zmq-2,2.085,104013,47585,zmq,tcp
G,1,128,8192,zmq-2,2.180,104013,45494,zmq,tcp
G,1,128,8192,zmq-2,2.139,104013,46367,zmq,tcp
G,1,128,8192,zmq-2,2.073,104013,47858,zmq,tcp
G,2,128,8192,zmq-2,1.927,104013,51466,zmq,tcp
G,1,128,8192,zmq-2,2.002,104013,49556,zmq,tcp
G,1,128,8192,zmq-2,2.078,104013,47743,zmq,tcp
G,1,128,8192,zmq-2,2.063,104013,48093,zmq,tcp
G,2,128,8192,zmq-2,2.277,110157,46134,zmq,tcp
G,1,256,8192,zmq-2,4.630,208845,43014,zmq,tcp
G,1,256,8192,zmq-2,3.820,208845,52141,zmq,tcp
G,2,256,8192,zmq-2,4.028,208845,49450,zmq,tcp
G,2,256,8192,zmq-2,4.028,208845,49443,zmq,tcp
G,2,256,8192,zmq-2,3.997,208845,49835,zmq,tcp
G,2,256,8192,zmq-2,4.255,208845,46804,zmq,tcp
G,2,256,8192,zmq-2,3.978,208845,50074,zmq,tcp
G,2,256,8192,zmq-2,3.839,208845,51877,zmq,tcp
G,1,256,8192,zmq-2,3.776,208845,52743,zmq,tcp
G,1,256,8192,zmq-2,4.097,223181,51947,zmq,tcp
G,1,512,8192,zmq-2,8.216,418509,48581,zmq,tcp
G,1,512,8192,zmq-2,8.086,418509,49362,zmq,tcp
G,1,512,8192,zmq-2,8.146,418509,48995,zmq,tcp
G,1,512,8192,zmq-2,7.697,418509,51855,zmq,tcp
G,1,512,8192,zmq-2,7.809,418509,51108,zmq,tcp
G,2,512,8192,zmq-2,7.966,418509,50106,zmq,tcp
G,2,512,8192,zmq-2,8.057,418509,49539,zmq,tcp
G,1,512,8192,zmq-2,7.825,418509,51009,zmq,tcp
G,2,512,8192,zmq-2,7.430,418509,53720,zmq,tcp
G,1,512,8192,zmq-2,7.803,451277,55152,zmq,tcp
G,1,1024,8192,zmq-2,17.367,837837,46009,zmq,tcp
G,1,1024,8192,zmq-2,14.818,837837,53924,zmq,tcp
